question,answer,source,role,category
) Explain what is Cassandra?,Cassandra is an open source data storage system developed at Facebook for inbox search and designed for storing and managing large amounts of data across commodity servers. It can server as both,http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain what is composite type in Cassandra?,"In Cassandra, composite type allows to define key or a column name with a concatenation of data of different type. You can use two types of Composite Type",http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Mention what are the main components of Cassandra Data Model?,The main components of Cassandra Data Model are:,http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain what is a column family in Cassandra?,Column family in Cassandra is referred for a collection of Rows.,http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain what is a cluster in Cassandra?,A cluster is a container for keyspaces. Cassandra database is segmented over several machines that operate together. The cluster is the outermost container which arranges the nodes in a ring format and assigns data to them. These nodes have a replica which takes charge in case of data handling failure.,http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain what is a keyspace in Cassandra?,"In Cassandra, a keyspace is a namespace that determines data replication on nodes. A cluster consist of one keyspace per node.







RELATED ARTICLES



                How to Download & Install Cassandra on Windows 10            



                Cassandra Table Example: Create, Alter, Drop & Truncate Table            



                Cassandra Query Language(CQL): Insert Into, Update (Example)            



                Create and Drop INDEX in Cassandra",http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain what is Cassandra-Cqlsh?,"Cassandra-Cqlsh is a query language that enables users to communicate with its database. By using Cassandra cqlsh, you can do following things",http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain how Cassandra writes data?,Cassandra writes data in three components,http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain what is Memtable in Cassandra?,SStable consist of mainly 2 files,http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain what is SStable consist of?,SStable consist of mainly 2 files,http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain what is Bloom Filter is used for in Cassandra?,"A bloom filter is a space efficient data structure that is used to test whether an element is a member of a set. In other words, it is used to determine whether an SSTable has data for a particular row. In Cassandra it is used to save IO when performing a KEY LOOKUP.",http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain how Cassandra writes changed data into commitlog?,Data will not be lost once commitlog is flushed out to file,http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) Explain how Cassandra delete Data?,"SSTables are immutable and cannot remove a row from SSTables. When a row needs to be deleted, Cassandra assigns the column value with a special value called Tombstone. When the data is read, the Tombstone value is considered as deleted.",http://career.guru99.com/top-23-cassandra-interview-questions/,AI Engineer,
) What is Angular Expression? Explain the key difference between angular expressions and JavaScript expressions,"Like JavaScript,  Angular expressions are code snippets that are usually placed in binding such as {{ expression }}",http://career.guru99.com/top-25-angular-js-interview-questions/,AI Engineer,
) What are the steps for the compilation process of HTML?,Compilation of HTML process occurs in the following ways,http://career.guru99.com/top-25-angular-js-interview-questions/,Frontend Developer,
)  What is the main difference between a link and compile in Angular.js?,"For creating the directive, factory method is used. It is invoked only once when the compiler matches the directive for the first time.  By using $injector.invoke the factory method is invoked.",http://career.guru99.com/top-25-angular-js-interview-questions/,AI Engineer,
) How can you integrate AngularJS with HTML?,Developers can follow the following steps to integrate AngularJS with HTML:,http://career.guru99.com/top-25-angular-js-interview-questions/,Frontend Developer,
) What is BOM(Browser Object Model)?,"BOM or Browser Object Model consists of history, object navigator, screen location, etc. It specifies the global browser objects like console, local storage, and window.",http://career.guru99.com/top-25-angular-js-interview-questions/,AI Engineer,
) What is the basic requirement to work with AngularJS?,"You have to download the latest version of AngularJS from AngularJS.com to learn or work with AngularJS. You can either need JS file and host it locally, or you can also use google CDN (Content Delivery Network) for referencing it.",http://career.guru99.com/top-25-angular-js-interview-questions/,UX Developer,
) Explain what is backbone.js?,"Backbone.js is a JavaScript client-side (front end) framework, which helps to organize your code and makes it easier to develop single page applications.  It allows you to structure JavaScript code in an MVC  (Model, View , Controller) fashion",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) What are the main components of Backbone.js?,The main component of Backbone.js are,http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain what is Backbone.js collections?,"An ordered set of models are represented by Backbone.js collections. Any event in model will trigger an event in collection directly.  For example, you can bind “change” event to be notified in a case when any model in the collection has been modified.",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain what is Backbone.js router is used for?,"Whenever an application want to change their URL fragment in order to provide bookmarkable and shareable URLs for an Ajax heavy application, backbone.js router is used.",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) What are the three js files that you require to setup a working environment for backbone?,you are required following three js files to setup a working environment for backbone,http://career.guru99.com/top-25-backbone-js-interview-questions/,UX Developer,
) Explain when you require Backbone.js?,Backbone.js is required in following condition,http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain what is view in Backbone.js?,Backbone view is a Javascript object that manages a specific DOM element and descendants.,http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain what is Backbone.js Models?,"Backbone.js models are object and core of backbone.js. It contains an array of attributes and listens for events. To represent your data, Backbone provides a model object. For example, you have a to do list, you would have a model representing each item on that list.",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain how you can use backbone.js for multiple page web app?,For multiple page web app in backbone.js there are lots of consideration but here are two which can be useful,http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain what is Modelbinder in Backbone.js?,"To make synchronization process of views and models together, ModelBinder class is used.",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) What is the most powerful capabilities of the ModelBinder?,The most powerful capabilities of ModelBinder class is that it enables you to define scope when you create your bindings using jQuery.,http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain what is Converter in Backbone.js?,"A function is called when model’s attribute is copied to an html element or when an html element value is copied into a model’s attribute, this function is referred as Converter in Backbone.js",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) What is model.attributes?,"The attributes property is the internal hash containing the model’s state,  usually a form of the JSON object representing the model data on the server. It is often a straightforward serialization of a row from the database",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain when you can use Unbinding function in Backbone.js?,"When you want to remove the validation binding on the model or all models , removing all events hooked up on the collection, you can use Unbinding function. For example : Backbone.Validation.Unbind(view) [ This will remove the validation binding]",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) What are the configuration options available?,The configuration options available are,http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain what is the function of parse?,"Whenever a model’s data is returned by the server, in fetch and save , this data is called parse. It is called by Backbone whenever a collection’s models are returned by server, in fetch.",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain what is model.cid?,"Model.cid works as a unique identifier. It is a special property of models, the cid or client id is automatically assigned to all models when they are first created. This property is useful when the model is not saved to the server, but needs to be visible in the UI. It takes the from c1,c2…. These interview questions will also help in your viva(orals)",http://career.guru99.com/top-25-backbone-js-interview-questions/,AI Engineer,
) Explain what Ember.js is and how it works?,Free PDF Download: Ember.js Interview Questions and Answers,http://career.guru99.com/top-25-ember-js-interview-questions/,AI Engineer,
) What are the two types of API functions in Node.js?,The two types of API functions in Node.js are,http://career.guru99.com/top-25-interview-questions-on-node-js/,Backend Developer,
) Explain the steps how “Control Flow” controls the functions calls?,"For async processing, Node.js was created explicitly as an experiment. It is believed that more performance and scalability can be achieved by doing async processing on a single thread under typical web loads than the typical thread based implementation.








RELATED ARTICLES



                How to Download & Install Node.js and NPM on Windows            



                Node.js NPM Tutorial: How to Create, Extend, Publish modules            



                Node.js Tutorial PDF for Beginners (Free Download)            



                GraphQL vs REST – Difference Between APIs",http://career.guru99.com/top-25-interview-questions-on-node-js/,AI Engineer,
) Using the event loop what are the tasks that should be done asynchronously?,"Node.js is quickly gaining attention as it is a loop based server for JavaScript. Node.js gives user the ability to write the JavaScript on the server, which has access to things like HTTP stack, file I/O, TCP and databases.",http://career.guru99.com/top-25-interview-questions-on-node-js/,Software Engineer,
) Why node.js is quickly gaining attention from JAVA programmers?,"Node.js is quickly gaining attention as it is a loop based server for JavaScript. Node.js gives user the ability to write the JavaScript on the server, which has access to things like HTTP stack, file I/O, TCP and databases.",http://career.guru99.com/top-25-interview-questions-on-node-js/,AI Engineer,
) What is an event loop in Node.js?,"To process and handle external events and to convert them into callback invocations an event loop is used. So, at I/O calls, node.js can switch from one request to another.",http://career.guru99.com/top-25-interview-questions-on-node-js/,Software Engineer,
) Explain what is Scala?,Scala is an object functional programming and scripting language for general software applications designed to express solutions in a concise manner.,http://career.guru99.com/top-25-interview-questions-on-scala/,AI Engineer,
) What is recursion tail in scala?,"‘Recursion’ is a function that calls itself. A function that calls itself, for example, a function ‘A’ calls function ‘B’, which calls the function ‘C’.  It is a technique used frequently in functional programming.  In order for a tail recursive, the call back to the function must be the last function to be performed.",http://career.guru99.com/top-25-interview-questions-on-scala/,AI Engineer,
) What is ‘scala trait’ in scala?,"‘Traits’ are used to define object types specified by the signature of the supported methods.  Scala allows to be partially implemented but traits may not have constructor parameters.  A trait consists of method and field definition, by mixing them into classes it can be reused.",http://career.guru99.com/top-25-interview-questions-on-scala/,AI Engineer,
) When can you use traits?,"There is no specific rule when you can use traits, but there is a guideline which you can consider.",http://career.guru99.com/top-25-interview-questions-on-scala/,AI Engineer,
) Explain ‘Scala higher order’ functions?,"Scala allows the definition of higher order functions.  These are functions that take other functions as parameters, or whose result is a function.  In the following example, apply () function takes another function ‘f’ and a value ‘v’ and applies function to v.",http://career.guru99.com/top-25-interview-questions-on-scala/,AI Engineer,
) What is Python? What are the benefits of using Python?,"Python is a programming language with objects, modules, threads, exceptions, and automatic memory management. The benefits of pythons are that it is simple and easy, portable, extensible, build-in data structure, and it is open-source.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) How is Python interpreted?,"Python language is an interpreted language. Python program runs directly from the source code. It converts the source code that is written by the programmer into an intermediate language, which is again translated into machine language that has to be executed.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) How is memory managed in Python?,"Python memory is managed by Python private heap space. All Python objects and data structures are located in a private heap. The programmer does not have an access to this private heap, and the interpreter takes care of this Python private heap.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What are Python decorators?,A Python decorator is a specific change that we make in Python syntax to alter functions easily.,http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What are built-in type does python provides?,Python provides two built-in types: 1) Mutable and 2) Immutable.,http://career.guru99.com/top-25-python-interview-questions/,UX Developer,
) What is lambda in Python?,It is a single expression anonymous function often used as inline function.,http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) Why lambda forms in python do not have statements?,A lambda form in python does not have statements as it is used to make new function object and then return them at runtime.,http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) In Python what are iterators?,"In Python, iterators are used to iterate a group of elements, containers like a list.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What is the unittest in Python?,"A unit testing framework in Python is known as unittest. It supports sharing of setups, automation testing, shutdown code for tests, aggregation of tests into collections, etc.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) Explain slicing in Python?,"A mechanism to select a range of items from sequence types like list, tuple, strings etc., is known as slicing.",http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) What are generators in Python?,The way of implementing iterators are known as generators. It is a normal function except that it yields expression in the function.,http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What is docstring in Python?,"A Python documentation string is known as docstring, it is a way of documenting Python functions, modules, and classes.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) How can you copy an object in Python?,"To copy an object in Python, you can try a copy.copy () or copy.deepcopy() for the general case. You cannot copy all objects but most of them.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What is negative index in Python?,"Python sequences can be index in positive and negative numbers. For positive index, 0 is the first index, 1 is the second index, and so forth. For the negative index, (-1) is the last index, and (-2) is the second last index, and so forth.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What is module and package in Python?,"In Python, module is the way to structure a program. Each Python program file is a module, which imports other modules like objects and attributes.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What are the rules for local and global variables in Python?,Here are the rules for local and global variables in Python:,http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) Explain how can you make a Python Script executable on Unix?,"To make a Python Script executable on Unix, you need to do two things,",http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) Explain how to delete a file in Python?,By using a command os.remove (filename) or os.unlink(filename),http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) Explain how can you generate random numbers in Python?,"To generate random numbers in Python, you need to import command as",http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) How can you access a module written in Python from C?,"You can access a module written in Python from C by following method,",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What is the use of // operator in Python?,"It is a Floor Divisionoperator, which is used for dividing two operands with the result as a quotient showing only digits before the decimal point. For instance, 10//5 = 2 and 10.0//5.0 = 2.0.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) Explain what is the common way for the Flask script to work?,The common way for the flask script to work is:,http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) Explain how you can access sessions in Flask?,"A session basically allows you to remember information from one request to another. In a flask, it uses a signed cookie so the user can look at the session contents and modify. The user can modify the session if only it has the secret key Flask.secret_key.",http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
") Is Flask an MVC model, and if yes give an example showing MVC pattern for your application?","Basically, Flask is a minimalistic framework that behaves same as MVC framework. So MVC is a perfect fit for Flask, and the pattern for MVC we will consider for the following example",http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) Explain database connection in Python Flask?,"Flask supports database-powered applications (RDBS). Such a system requires creating a schema, which requires piping the shema.sql file into a sqlite3 command. So you need to install sqlite3 command in order to create or initiate the database in Flask.",http://career.guru99.com/top-25-python-interview-questions/,Backend Developer,
") If you have multiple Memcache servers, and one of them fails that contain data, will it try to get them?","The data in the failed server won’t get removed, but there is a provision for auto-failure, which you can configure for multiple nodes. Fail-over can be triggered during any kind of socket or Memcached server level errors and not during normal client errors like adding an existing key, etc.",http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) Explain how you can minimize the Memcached server outages in your Python Development?,"Dogpile effect is referred to the event when cache expires, and websites are hit by the multiple requests made by the client at the same time. This effect can be prevented by using a semaphore lock. In this system, when the value expires, the first process acquires the lock and starts generating a new value.",http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) Explain what is Dogpile effect? How can you prevent this effect?,"Dogpile effect is referred to the event when cache expires, and websites are hit by the multiple requests made by the client at the same time. This effect can be prevented by using a semaphore lock. In this system, when the value expires, the first process acquires the lock and starts generating a new value.",http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) Explain how memcached should not be used in your Python project?,Here are the ways you should not use memcached in your Python project:,http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) What is Python If Statement?,"Python if Statement is used for decision-making operations. It contains a body of code that runs only when the condition given in the if statement is true. If the condition is false, then the optional else statement runs, which contains some code for the else condition.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What is enumerate() in Python?,Enumerate() in Python is a built-in function used for assigning an index to each item of the iterable object. It adds a loop on the iterable objects while keeping track of the current item and returns the object in an enumerable form. This object can be used in a for loop to convert it into a list by using list() method.,http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) How can you use for loop to repeat the same statement over and again?,"You can use for loop for even repeating the same statement over and again. Here in the example, we have printed out the word “guru99” three times.",http://career.guru99.com/top-25-python-interview-questions/,AI Engineer,
) What is Tuple Matching in Python?,"Tuple Matching in Python is a method of grouping the tuples by matching the second element in the tuples. It is achieved by using a dictionary by checking the second element in each tuple in python programming. However, we can make new tuples by taking portions of existing tuples.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) How can you Update Python Dictionary?,"You can update a dictionary by adding a new entry or a key-value pair to an existing entry or by deleting an existing entry. Here in the example, we will add another name, “Sarah” to our existing dictionary.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) How can you sort elements in Python dictionary?,"In the dictionary, you can easily sort the elements. For example, if we want to print the name of the elements of our dictionary alphabetically, we have to use for loop. It will sort each element of the dictionary accordingly.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) How can you reverse array in Python?,You can use reverse() to reverse array in Python.,http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What is timmer method in Python?,"Timer is a method available with Threading, and it helps to get the same functionality as Python time sleep.",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What are the common examples of exceptions in Python?,The common examples of exceptions in Python are:,http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) How can you print without a newline in Python?,"From Python 3+, there is an additional parameter introduced for print() called end=. This parameter takes care of removing the newline that is added by default in print().",http://career.guru99.com/top-25-python-interview-questions/,Software Engineer,
) What are the differences between System.String and System.Text.StringBuilder classes?,"System.String is immutable. When we modify the value of a string variable, then a new memory is allocated to the new value and the previous memory allocation released. System.StringBuilder was designed to have a concept of a mutable string where a variety of operations can be performed without allocation separate memory location for the modified string.",http://career.guru99.com/top-50-c-sharp-interview-questions-answers/,UX Developer,
) How to implement a singleton design pattern in C#?,"In a singleton pattern, a class can only have one instance and provides an access point to it globally.",http://career.guru99.com/top-50-c-sharp-interview-questions-answers/,UX Developer,
What is CSS ?,"The full form of CSS is Cascading Style Sheets. It is a styling language which is simple enough for HTML elements. It is popular in web designing, and its application is common in XHTML also.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
What is the origin of CSS ?,Standard Generalized Markup Language marked the beginning of style sheets in 1980s.,http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
What are the different variations of CSS ?,The variations for CSS are:,http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
What are CSS frameworks?,"It is a pre-planned libraries, which allows easier and more standards-compliant webpage styling, using CSS language.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
How block elements can be centered with CSS1?,Block level elements can be centered by:,http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
Who maintains the CSS specifications?,World Wide Web Consortium maintains the CSS specifications.,http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
In how many ways can a CSS be integrated as a web page?,CSS can be integrated in three ways:,http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
What does CSS selector mean?,"A string equivalent of HTML elements by which declarations or a set of it, is declared and is a link that can be referred for linking HTML and Style sheet is CSS selector.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
Enlist the media types CSS allows?,"The design and customization of documents are rendered by media. By applying media control over the external style sheets, they can be retrieved and used by loading it from the network.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
Differentiate Style Sheet concept from HTML?,"While HTML provides easy structure method, it lacks styling, unlike Style sheets. Moreover, style sheets have better browser capabilities and formatting options.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
Comment on the Case-sensitivity of CSS ?,"Although, there are no case-sensitivity of CSS, nevertheless font families, URL’s of images, etc is. Only when XML declarations along with XHTML DOCTYPE are being used on the page, CSS is case -sensitive.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
Can more than one declaration be added in CSS?,"Yes, it can be achieved by using a semicolon.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
"Can default property value be restored through CSS? If yes, how?","In CSS, you cannot revert back to old values due to lack of default values. The property can be re- declared to get the default property.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
What is CSS Box Model and what are its elements?,This box defines design and layout of elements of CSS. The elements are:,http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
Define Image sprites with context to CSS ?,"When a set of images is collaborated into one image, it is known as ‘Image Sprites’. As the loading every image on a webpage consumes time, using image sprites lessens the time taken and gives information quickly.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
Compare Grouping and Nesting in CSS ?,"Grouping:  Selectors can be grouped having the same values of property and the code be reduced.
E.g. :",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
Define float property of CSS?,"By float property, the image can be moved to the right or the left along with the text to be wrapped around it. Elements before this property is applied do not change their properties.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
How can backward compatibility be designed in CSS?,HTML sheet methods is collaborated with CSS and used accordingly.,http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
Which among the following is more precedent: CSS properties or HTML procedures?,"CSS is more precedent over HTML procedures. Browsers, which do not have CSS support, display HTML attributes.",http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
How comments can be added in CSS?,The comments in CSS can be added with /* and */.,http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
How can CSS be cascaded to mix with user’s personal sheet?,Properties can be a set in recommended places and the document modified for CSS to mix with user’s personal sheet.,http://career.guru99.com/top-50-csscascading-style-sheet-interview-questions/,Frontend Developer,
) What is HTML?,HTML is short for HyperText Markup Language and is the language of the World Wide Web. It is the standard text formatting language used for creating and displaying pages on the Web. HTML documents are made up of two things: the content and the tags that format it for proper display on pages.,http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) Do all HTML tags come in a pair?,"No, there are single HTML tags that do not need a closing tag. Examples are the <img> tag and <br> tags.",http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) What are some of the common lists that can be used when designing a page?,"You can insert any or a combination of the following list types:
– ordered list
– unordered list
– definition list
– menu list
– directory list
Each of this list types makes use of a different tag set to compose








Don't Miss:
How to Write a Resume & CV with Format & Template Examples
Technical Interview Questions and Answers (2025)
Top 50 XML Interview Questions and Answers (2025)
Top 50 CSS Interview Questions and Answers (2025)",http://career.guru99.com/top-50-html-interview-questions/,UX Developer,
) How do you insert a comment in HTML?,Comments in HTML begins with “<!–“nd ends with “–>”. For example:,http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) Is there any way to keep list elements straight in an HTML file?,"By using indents, you can keep the list elements straight. If you indent each subnested list in further than the parent list that contains it, you can at a glance determine the various lists and the elements that it contains.",http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) Do older HTML files work on newer browsers?,"Yes, older HTML files are compliant to the HTML standard. Most older files work on the newer browsers, though some features may not work.",http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) What if there is no text between the tags or if a text was omitted by mistake? Will it affect the display of the HTML file?,"If there is no text between the tags, then there is nothing to format. Therefore no formatting will appear. Some tags, especially tags without a closing tag like the <img> tag, do not require any text between them.",http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) How do you create text on a webpage that will allow you to send an email when clicked?,"To change text into a clickable link to send email, use the mailto command within the href tag. The format is as follows:",http://career.guru99.com/top-50-html-interview-questions/,AI Engineer,
) What happens if you open the external CSS file in a browser?,"When you try to open the external CSS file in a browser, the browser cannot open the file, because the file has a different extension. The only way to use an external CSS file is to reference it using <link/> tag within another HTML document.",http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) Which browsers support HTML5?,"The latest versions of Google Chrome, Apple Safari, Mozilla Firefox, and Opera all support most of the HTML5 features.",http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) Do you know which are two semantic tags are included in HTML5 version?,The <article> and <section> tags are two new tags that are included in HTML5. Articles can be composed of multiple sections that can have multiple articles. An article tag represents a full block of content which is a section of a bigger whole.,http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) What is <figure> in HTML5?,This tag represents a piece of self-contained flow content. It is mostly used as a single unit as a reference the main flow of the document.,http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) What are the new FORM elements which are available in HTML5?,The new Form elements in HTML5 offers much better functionality than the earlier versions.,http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) What are two types of Web Storage in HTML5?,Two storage types of HTML5 are:,http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) What is the Application Cache in HTML5 and why it is used?,The Application Cache concept means that a web application is cached. It can be accessible without the need for internet connection.,http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) Explain five new input types provided by HTML5 for forms?,"Following are the important, new data types offered by HTML5:",http://career.guru99.com/top-50-html-interview-questions/,Frontend Developer,
) What is Linux?,"Linux is an operating system or a kernel distributed under an open-source license. Its functionality list is quite like UNIX. The kernel is a program at the heart of the Linux operating system that takes care of fundamental stuff, like letting hardware communicate with software.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) What is the difference between UNIX and LINUX?,"Unix  originally began as a propriety operating system from Bell Laboratories, which later on spawned into different commercial versions. On the other hand, Linux is free, open source and intended as a non-propriety operating system for the masses.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) What is Linux Kernel?,The Linux Kernel is a low-level systems software whose main role is to manage hardware resources for the user. It is also used to provide an interface for user-level interaction.,http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) What are the basic components of Linux?,"Just like any other typical operating system, Linux has all of these components: kernel, shells and GUIs, system utilities, and an application program. What makes Linux advantageous over other operating system is that every aspect comes with additional features and all codes for these are downloadable for free.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) Does it help for a Linux system to have multiple desktop environments installed?,"In general, one desktop environment, like KDE or Gnome, is good enough to operate without issues. It’s all a matter of preference for the user, although the system allows switching from one environment to another. Some programs will work in one environment and not work on the other, so it could also be considered a factor in selecting which environment to use.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) What is GUI?,"GUI, or Graphical User Interface, make use of images and icons that users click and manipulate as a way of communicating with the computer. Instead of having to remember and type commands, the use of graphical elements makes it easier to interact with the system, as well as adding more attraction through images, icons, and colors.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) How do you open a command prompt when issuing a command?,"To open the default shell (which is where the command prompt can be found), press Ctrl-Alt-F1. This will provide a command line interface (CLI) from which you can run commands as needed.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) How can you find out how much memory Linux is using?,"From a command shell, use the “concatenate” command: cat /proc/meminfo for memory usage information. You should see a line starting something like Mem: 64655360, etc. This is the total memory Linux thinks it has available to use.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) What is a typical size for a swap partition under a Linux system?,"The preferred size for a swap partition is twice the amount of physical memory available on the system. If this is not possible, then the minimum size should be the same as the amount of memory installed.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) Does the Ctrl+Alt+Del key combination work on Linux?,"Yes, it does. Just like Windows, you can use this key combination to perform a system restart. One difference is that you won’t be getting any confirmation message and therefore, a reboot is immediate.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
) How do you change permissions under Linux?,"Assuming you are the system administrator or the owner of a file or directory, you can grant permission using the chmod command. Use + symbol to add permission or – symbol to deny permission, along with any of the following letters: u (user), g (group), o (others), a (all), r (read), w (write) and x (execute). For example, the command chmod go+rw FILE1.TXT grants read and write access to the file FILE1.TXT, which is assigned to groups and others.",http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
") In Linux, what names are assigned to the different serial ports?",Serial ports are identified as /dev/ttyS0 to /dev/ttyS7. These are the equivalent names of COM1 to COM8 in Windows.,http://career.guru99.com/top-50-linux-interview-questions/,UX Developer,
